STA	DIST	AmpRatio	dT
JOB	10,635	0,20524	477,16
BB06	10,646	0,36007	477,505
TKD0	10,655	0,15086	476,98
NFRH	10,656	0,05118	477,37
URH	10,668	0,21508	477,005
SKSH	10,689	0,11585	476,565
JAB	10,696	0,08461	476,4
JHR	10,697	0,18461	476,835
OTAV	10,720	0,06337	478,26
FRNH	10,739	0,07726	474,765
NS26	10,782	0,17644	478,105
SUGH	10,788	0,29276	476,815
TYRH	10,795	0,18	477,285
STD	10,827	0,19549	477,09
JFR	10,844	0,21924	476,785
NS25	10,879	0,07468	477,455
SMPH	10,901	0,12552	475,665
NS24	10,935	0,07617	476,92
SHZH	10,962	0,16945	476,39
TOBH	11,007	0,18249	476,565
NS23	11,013	0,13837	477,61
MSAH	11,030	0,18646	476,635
JCH	11,050	0,17903	476,835
NS22	11,092	0,15231	476,74
IWN	11,109	0,20956	476,8
BB05	11,122	0,14601	477,545
HIC	11,129	0,25467	476,65
SSTH	11,136	0,16345	476,415
NS21	11,164	0,29233	477,135
GUAC	11,164	0,37825	477,125
YUBH	11,187	0,08285	476,5
TKIH	11,208	0,17302	476,435
KYMH	11,210	0,03693	476,1
CB14	11,217	0,16138	477,025
NS20	11,233	0,13141	476,99
HOBH	11,244	0,1468	476,72
CB11	11,253	0,28616	477,415
GALAN	11,261	0,27814	477,445
JBT2	11,261	0,30606	477,18
BREH	11,282	0,12858	476,85
BB21	11,294	0,1645	477,485
NKN	11,315	0,16073	476,04
NCPH	11,325	0,08919	476,445
NS19	11,327	0,24592	476,755
BRWH	11,350	0,2292	476,83
OIWH	11,361	0,13632	476,445
MYR	11,362	0,27012	476,925
NS01	11,379	0,18779	477,065
MED	11,383	0,0876	478,315
CB12	11,385	0,10772	476,89
MBEH	11,400	0,13599	475,6
CTSH	11,420	0,20264	476,335
AKA	11,425	0,08097	476,205
STZ	11,446	0,17762	476,105
NS02	11,480	0,23758	477,29
KMU	11,518	0,18454	476,99
SYJ	11,528	0,09187	476,38
AMAH	11,536	0,17762	476,91
JSK	11,542	0,0761	476,45
HSS	11,543	0,20002	476,145
FBRH	11,551	0,08954	475,925
JNBK	11,556	0,1185	476,095
A720	11,559	0,18384	475,53
JEW	11,560	0,11825	475,65
TL1	11,564	0,17451	475,61
MBWH	11,586	0,0372	476,05
AGWH	11,590	0,10069	475,565
NS03	11,597	0,24368	477,125
SAMH	11,602	0,10893	476,54
SZNH	11,609	0,08814	475,53
MUJ	11,612	0,2059	477,435
JEM	11,652	0,15244	475,715
ERM	11,653	0,16431	475,72
BB17	11,657	0,35841	477,45
CB13	11,669	0,22974	476,625
BB04	11,680	0,14054	476,885
CCNH	11,699	0,07081	474,97
NS04	11,709	0,25966	477,365
TOMH	11,750	0,06871	475,76
KYOH	11,762	0,12299	475,695
KMBH	11,786	0,06236	475,54
SOIH	11,809	0,1216	475,805
CB15	11,841	0,31433	475,78
OHTH	11,851	0,18763	476,11
MKRH	11,860	0,1373	476,32
EW10	11,892	0,28975	477,295
EW19	11,909	0,10227	476,565
EW20	11,925	0,16404	476,78
RNKH	11,939	0,07532	476,295
EW18	11,950	0,08245	476,9
TURH	12,019	0,05771	475,165
CB20	12,030	0,1926	476,83
JNB	12,036	0,06526	475,465
CP01	12,081	0,11135	476,38
EW01	12,097	0,17487	475,725
CB26	12,097	0,21072	476,22
SMMH	12,120	0,08188	475,72
KMNH	12,120	0,04848	475,345
CP03	12,149	0,19755	476,335
TEY	12,162	0,21985	475,1
CB25	12,184	0,11773	476,22
CB22	12,187	0,09631	476,3
CB21	12,203	0,12146	476,34
