STA	DIST	AmpRatio	dT
SMBH	19,146	0,09127	467,385
OOS1	19,166	0,06272	467,48
MNZH	19,167	0,07384	468,2
SSNH	19,173	0,07327	467,585
HYKH	19,185	0,13955	468,465
MZEH	19,201	0,09818	467,37
SAML	19,208	0,20094	468,26
JKG	19,211	0,11861	467,19
MBUH	19,228	0,07207	467,425
GR2H	19,250	0,11848	468,755
NMZH	19,256	0,13841	467,365
HT2H	19,256	0,13394	467,325
TSUH	19,260	0,15336	466,945
TKGH	19,274	0,05476	467,075
KNIH	19,279	0,08416	467,245
IIDH	19,286	0,14733	467,265
GERH	19,293	0,08536	467,695
NRYH	19,305	0,14546	466,945
AJI	19,307	0,11212	467,28
SBKH	19,312	0,12978	466,75
YMTH	19,331	0,07604	467,135
KAJ	19,333	0,08128	466,435
EIHH	19,334	0,08577	466,905
IZUH	19,336	0,03515	467,56
FCO	19,344	0,14385	467,235
SONH	19,346	0,0875	467,32
HTNH	19,346	0,11169	467,11
ITOH	19,348	0,08832	467,24
OKY	19,365	0,1799	467,095
HSKH	19,367	0,08313	467,21
UMJ0	19,370	0,11358	466,69
ITHH	19,370	0,10773	467,16
KAW	19,372	0,07288	467,475
ITOO	19,390	0,10873	467,2
FM01	19,394	0,19838	467,635
SZJH	19,401	0,23022	467,945
JGF	19,412	0,10466	467,28
OKV	19,413	0,1182	467,13
FTO	19,418	0,10434	467,51
KAYH	19,422	0,10387	467,6
SZUH	19,426	0,1331	467,405
JIZH	19,428	0,09061	466,245
JNY	19,443	0,10023	466,21
HD2H	19,445	0,13539	467,63
MSNH	19,449	0,1146	467,12
FKJ	19,451	0,08033	467,035
NTGH	19,473	0,08184	467,16
SIZH	19,474	0,05527	467,325
MNMH	19,477	0,19943	467,02
SUMH	19,493	0,06291	467,02
JIM2	19,495	0,18645	466,995
ITDH	19,495	0,05126	467,075
ITD1	19,505	0,10878	467,055
MS2H	19,520	0,08206	465,76
YOTH	19,530	0,09455	467,49
MSKH	19,536	0,08285	467,12
HRYH	19,548	0,15183	467,17
HKJ	19,554	0,07746	467,03
SOSH	19,556	0,06482	467,875
HKWH	19,557	0,05575	467,21
KWZH	19,557	0,13899	466,64
OTAH	19,584	0,05035	466,85
SHZ3	19,585	0,03858	467,145
KMTH	19,587	0,04427	466,215
SMDH	19,609	0,1184	466,86
NS2H	19,609	0,12305	466,76
TYEH	19,624	0,08798	467,025
IMJ	19,640	0,13829	466,87
NEOH	19,641	0,06515	466,78
OKBH	19,647	0,11257	466,47
MKMH	19,651	0,15207	466,99
FN13	19,667	0,10943	467,57
KSHH	19,672	0,06573	466,715
JIZS	19,674	0,12542	466,7
TKTH	19,685	0,09677	467,16
STN	19,687	0,16508	467,3
FJEH	19,699	0,0814	466,305
MIZH	19,701	0,17103	466,415
ASHH	19,709	0,07123	466,955
MNI1	19,713	0,12601	466,705
TOEH	19,718	0,1431	466,685
KNEH	19,719	0,07618	466,43
STRH	19,720	0,08906	466,95
KMHH	19,735	0,11036	466,715
TNMH	19,739	0,06446	466,675
TT2H	19,741	0,08892	466,935
SKUH	19,744	0,13672	466,775
JAO	19,747	0,15889	466,35
INU1	19,757	0,15329	466,81
TATH	19,760	0,05491	467
KGIH	19,761	0,08127	466,725
KG3H	19,797	0,08207	466,025
ASUH	19,806	0,11817	467,165
HOUH	19,826	0,05853	468,03
MRIH	19,838	0,12962	466,805
TRGH	19,863	0,12774	466,67
NGKH	19,872	0,05676	466,065
TYD	19,886	0,04304	466,75
FKRH	19,911	0,07597	466,065
AZJ	19,913	0,28868	466,445
HMAH	19,921	0,02269	466,96
HMMJ	19,946	0,05546	466,37
TDEH	19,946	0,02414	467
JSG	19,947	0,14653	466,4
NIN	19,960	0,16895	466,71
SSRH	19,967	0,02379	467,365
OHSH	19,971	0,08581	466,285
KIDH	19,991	0,05413	466,35
MIKH	19,997	0,15836	466,12
OKZH	19,999	0,04558	467,25
JFM	20,001	0,24257	466,305
FN12	20,013	0,18729	467,2
NUKH	20,016	0,03365	466,665
KOZ	20,029	0,15514	466,32
MKBH	20,041	0,03165	466,91
JKO	20,077	0,21459	466,73
HMMH	20,081	0,11323	467,09
THNH	20,085	0,04652	466,215
TAGH	20,085	0,11347	466,01
ANJH	20,093	0,03967	465,345
INEH	20,116	0,0354	465,52
MIK	20,119	0,08725	466,335
ARIH	20,126	0,12438	467,62
OBMH	20,142	0,08055	465,85
JEG	20,188	0,12943	465,87
HAZH	20,204	0,05738	465,95
TKHH	20,210	0,08917	466,7
TYHH	20,211	0,10932	467,01
AMNH	20,232	0,01405	465,405
JKY	20,269	0,02867	465,4
OTUH	20,269	0,03891	465,69
YOKH	20,272	0,08521	465,695
OHM	20,273	0,08997	465,74
ABNH	20,297	0,07007	465,555
MCTH	20,308	0,09667	465,695
TKO4	20,317	0,18935	466,27
NDGH	20,327	0,05525	465,305
FN07	20,346	0,06295	466,615
JAA	20,355	0,10595	465,72
HNOH	20,365	0,07425	465,545
MYMH	20,376	0,07299	465,1
ATMH	20,381	0,10287	466,005
KHK	20,435	0,03717	465,43
KSMH	20,438	0,08896	466,025
FN02	20,440	0,19664	466,14
JWT	20,447	0,08202	464,95
FN08	20,449	0,24005	466,4
FN04	20,470	0,36475	465,74
FN05	20,483	0,10584	466,575
JKSM	20,486	0,10353	466,015
IZSH	20,493	0,05134	465,55
KGM	20,497	0,04457	465,385
SAI	20,505	0,02972	465
FKCH	20,506	0,10347	464,965
FN01	20,519	0,13161	465,955
FN09	20,529	0,32034	466,385
OYMH	20,531	0,09423	465,155
KYTH	20,531	0,02871	464,545
FN10	20,540	0,16655	466,29
SGRH	20,551	0,03458	464,83
TSUJ	20,554	0,08748	465,11
NNA	20,557	0,15476	466,25
YGI	20,590	0,03737	465,225
MROH	20,593	0,07671	464,94
KMEH	20,596	0,03569	465,1
IAMH	20,611	0,03624	465,215
SNTH	20,616	0,1041	465,205
KMMH	20,622	0,10025	465,34
UJT	20,627	0,05695	465,13
HMT	20,641	0,08445	465,65
ISE	20,645	0,05449	465,17
MASH	20,646	0,07315	464,975
SSYH	20,657	0,05398	465,665
URSH	20,693	0,06997	464,85
OYT	20,710	0,05478	465,17
TTT	20,727	0,02747	464,84
JIE	20,730	0,05303	465,045
YZEH	20,730	0,04804	464,935
MYO	20,731	0,04011	464,57
TNJ	20,741	0,1086	465,68
ABU	20,749	0,13422	464,785
KTNH	20,757	0,0891	464,475
TTO4	20,777	0,05771	464,935
WATH	20,783	0,03282	465,215
KAMH	20,784	0,06255	465,675
SMAH	20,785	0,06178	464,35
KWHH	20,824	0,02014	464,32
HAGH	20,838	0,08786	465,365
TRIH	20,856	0,0653	464,865
HCJH	20,862	0,07479	464,985
JHJ2	20,864	0,12301	465,085
MGWH	20,875	0,03288	464,71
TJOH	20,877	0,08234	465,685
JHE	20,885	0,06678	464,47
HBR	20,899	0,06086	464,87
SNT	20,908	0,03893	464,655
HYSH	20,931	0,06287	464,6
CHZH	20,931	0,02702	464,225
JKS	20,933	0,08232	464,94
YMSH	20,938	0,06974	464,555
TISH	20,984	0,05934	465,305
JMIK	21,001	0,10463	464,75
AKSH	21,005	0,03398	464,015
NKOH	21,010	0,10294	464,63
RKO	21,015	0,13699	464,29
JKR	21,021	0,06165	464,565
OHAH	21,026	0,05013	464,58
JKN	21,028	0,04242	464,62
KSBH	21,035	0,04401	464,575
SKGH	21,041	0,09296	464,065
KAWH	21,057	0,07038	464,505
KKGH	21,069	0,12986	464,605
MHSH	21,072	0,03939	463,965
SGUH	21,078	0,11451	464,565
MZT	21,092	0,13836	464,99
KRTH	21,109	0,04405	464,11
SYOH	21,134	0,17733	464,41
MZKH	21,160	0,04022	464,195
KMGH	21,194	0,10683	464,31
OWSH	21,197	0,05424	464,365
AIOH	21,223	0,07816	464,845
KSIH	21,224	0,04706	464,35
YBRH	21,228	0,13118	463,755
TJRH	21,243	0,19357	464,43
NAGH	21,244	0,06207	463,975
JAD	21,248	0,17744	464,215
QMT	21,255	0,17258	464,3
JNM	21,265	0,03794	463,97
SRT	21,274	0,05176	464,76
JWY	21,304	0,02432	464,225
HINH	21,309	0,02559	464,145
HKTH	21,310	0,01153	462,265
NWK1	21,333	0,04941	464,28
KUM	21,342	0,04372	463,865
HNSH	21,364	0,08675	464,61
HNZH	21,373	0,0256	464,07
TKEH	21,399	0,03616	463,785
HIRH	21,404	0,01485	462,895
JAJ2	21,406	0,13011	464,145
TKBH	21,420	0,04559	463,645
WKYH	21,424	0,11236	463,95
KACH	21,430	0,01913	463,225
NITH	21,448	0,02876	463,405
OKZ	21,460	0,05331	463,955
HKBH	21,461	0,12136	464,305
NKMH	21,461	0,0396	463,9
CWK	21,461	0,04818	464,02
TKWH	21,481	0,04246	464,975
WKME	21,494	0,04752	463,91
SGOH	21,495	0,03276	463,765
OIC	21,516	0,05282	463,575
TRT	21,521	0,05725	463,78
OKYH	21,524	0,0533	463,195
KHOH	21,528	0,06022	464,855
MHRH	21,529	0,06067	464,315
TTAH	21,575	0,05683	463,37
UUMH	21,578	0,01915	463,105
HGU	21,588	0,08271	463,93
ARD	21,589	0,02539	463,335
YSDH	21,600	0,04507	463,765
SDAH	21,607	0,0115	462,99
HRKH	21,638	0,0412	463,545
JHS	21,646	0,03505	463,555
NSM	21,652	0,07878	463,66
KTU	21,668	0,16471	464,375
TAMH	21,714	0,07781	463,29
NKTH	21,719	0,19084	463,835
JWM	21,722	0,08436	463,68
BSEH	21,722	0,03324	463,38
OTOH	21,742	0,18246	463,38
JNSH	21,752	0,03429	463,455
INMH	21,772	0,10717	463,53
KTWH	21,785	0,02829	463,43
OHCH	21,786	0,02524	462,945
OOCH	21,803	0,02019	463,675
HNM	21,805	0,07606	463,05
KTDH	21,807	0,1107	463,13
JJS	21,835	0,04317	462,735
KZG	21,844	0,16877	464,075
KNBH	21,871	0,03419	463,09
SSMH	21,884	0,12483	463,87
SHR	21,895	0,15185	463,395
TOKH	21,899	0,05299	463,08
ESM	21,926	0,17253	463,52
JJG	21,933	0,07723	463,18
AYKH	21,939	0,05177	463,1
HSMH	21,942	0,11774	464,12
KSAH	21,948	0,049	463,14
SON	21,965	0,05568	463,125
GOTH	21,973	0,03101	463,77
MIGH	22,024	0,0548	462,945
IWAH	22,030	0,14518	463,59
MJY	22,042	0,05947	463,695
NMKH	22,053	0,04759	462,695
MNOH	22,057	0,04763	463,31
SADH	22,060	0,07088	462,975
DWAH	22,080	0,07235	462,935
ESP01	22,098	0,0319	463,04
HWSH	22,100	0,06708	461,275
YSHH	22,104	0,08209	462,975
KNGH	22,124	0,25807	463,57
IKWH	22,151	0,0805	463,215
KYDH	22,160	0,12411	462,85
GEIH	22,160	0,15697	463,45
IKD	22,163	0,06896	462,86
MIHH	22,196	0,01723	462,095
HHIH	22,224	0,10303	462,47
SHK	22,230	0,05754	462,32
JHT	22,234	0,12089	462,94
KNNH	22,272	0,16054	462,435
HRSH	22,278	0,04212	463,6
SINH	22,325	0,0751	462,52
MYKH	22,336	0,04691	462,33
MITH	22,355	0,3132	462,9
TGUH	22,373	0,16619	463,015
ESP02	22,396	0,0652	463,09
AOU	22,404	0,14041	462,41
DOI	22,413	0,08305	462,475
JMN	22,415	0,0614	462,05
KURH	22,433	0,04506	462,165
HISH	22,438	0,15835	462,68
KTGH	22,457	0,04541	462
KHUH	22,461	0,09082	462,01
HIKH	22,470	0,099	462,795
MTYH	22,495	0,12104	462,715
UMJ	22,505	0,02928	461,905
SKIH	22,554	0,03764	461,495
JHIK	22,562	0,0682	462,105
SJOH	22,563	0,08261	462,155
WMY	22,574	0,09239	462,21
TMGH	22,579	0,02377	461,615
TBRH	22,581	0,07183	462,45
GSIH	22,590	0,08063	462,055
OKMH	22,603	0,03421	461,755
MRT2	22,606	0,03973	462,045
IHR	22,618	0,09826	462,205
GHKH	22,623	0,04964	462,185
JHM	22,630	0,04656	461,82
KRHH	22,639	0,03467	461,495
CPUP2	22,650	0,12864	463,7
CPUP1	22,653	0,1393	463,4
MURH	22,664	0,05318	461,875
ESP03	22,676	0,06165	462,985
MICH	22,676	0,03005	461,06
HJO	22,686	0,04193	461,895
MUT	22,702	0,06724	461,91
MTMH	22,714	0,05886	462,45
MRMJ	22,715	0,07253	461,455
JET	22,716	0,11987	461,965
AKR	22,736	0,10003	461,985
IKNH	22,743	0,02214	461,125
INOH	22,745	0,09031	461,895
IKKH	22,767	0,13217	461,87
MKWH	22,794	0,02489	460,955
TOHH	22,841	0,01973	461,41
TBEH	22,856	0,05005	461,605
HGIH	22,901	0,0416	461,125
TKJH	22,921	0,02914	461,145
YNDH	22,921	0,11723	461,65
SSKH	22,928	0,10622	461,61
JKD	22,989	0,0409	461,095
NGTH	23,039	0,02275	462,415
OOZH	23,055	0,04467	461,37
KWBH	23,059	0,07621	461,795
MTOH	23,060	0,04003	461,03
KNSH	23,060	0,05367	461,455
TKUH	23,063	0,04115	461
HOFH	23,110	0,02424	460,575
JKU	23,115	0,09511	461,415
JNA	23,149	0,05633	461,235
KUB	23,156	0,09889	461,195
TSYH	23,159	0,06682	461,265
JTY	23,176	0,05191	461,51
HIYH	23,182	0,09995	461,22
UWAH	23,227	0,08104	461,16
IKTH	23,274	0,10316	460,99
UBEH	23,277	0,05748	461,675
KIKH	23,285	0,06521	461,14
TYUH	23,322	0,14213	461,185
NAKH	23,341	0,06136	461,29
UWA2	23,382	0,06027	460,535
MISH	23,442	0,10705	460,495
KKYH	23,510	0,16313	460,95
TSMH	23,525	0,05928	460,56
SKM	23,532	0,04331	461,145
ESP04	23,534	0,11933	461,375
AKIH	23,542	0,07459	460,46
TSSH	23,590	0,0183	460,455
JTO	23,613	0,05025	460,565
OOTH	23,647	0,03689	460,405
YMGH	23,662	0,15742	460,45
BZNH	23,686	0,04052	460,315
SGS	23,697	0,08521	461,6
ESP05	23,699	0,0607	460,96
KTK	23,716	0,04343	459,75
EFI	23,718	0,04744	461,175
NKT	23,735	0,07819	460,23
JTU	23,735	0,09098	460,585
ESP06	23,742	0,08826	461,31
JFA	23,758	0,03234	460,05
SGWH	23,821	0,03116	459,575
WKMH	23,841	0,06667	459,705
NTHH	23,878	0,04253	461,185
JUS	23,882	0,13076	460,195
YGNH	23,883	0,01535	459,83
KAHH	23,895	0,07283	459,8
KKEH	23,911	0,02661	459,965
SIKH	23,928	0,03108	460,09
KIWH	23,930	0,06919	458,895
UMIH	23,976	0,04558	459,855
MIEH	23,999	0,04459	460,325
QC01	24,033	0,06916	461,32
UMEH	24,078	0,06228	459,455
UKHH	24,083	0,05122	459,28
TAKH	24,094	0,06716	459,235
TARH	24,099	0,03308	461,155
OGNH	24,115	0,03897	460,32
UMWH	24,148	0,02895	458,585
JII	24,176	0,14898	459,775
SBR	24,179	0,04107	460,465
JFI	24,181	0,05242	458,86
NMNH	24,187	0,04683	459,46
HSFH	24,206	0,06551	459,545
KIGH	24,206	0,03302	459,13
TAI	24,215	0,08837	459,585
JNU	24,217	0,07215	459,71
FJIH	24,247	0,05748	459,56
TKD	24,253	0,03943	459,05
ASVH	24,279	0,04415	458,95
ESP08	24,281	0,11467	460,275
KHKH	24,290	0,0587	459,41
KKCH	24,323	0,06191	459,45
CZEH	24,323	0,17075	459,535
HKSH	24,362	0,06799	459,415
NOBH	24,364	0,03018	458,88
JKIT	24,388	0,0544	459,555
GKSH	24,441	0,05645	458,885
TMNH	24,453	0,09097	458,705
SRIH	24,497	0,16719	459,78
MSIH	24,498	0,05295	459,115
JTA	24,505	0,0899	459,045
MRTH	24,510	0,03933	458,805
IMRH	24,529	0,10834	459,3
HYGH	24,531	0,04869	459,035
YABH	24,532	0,08406	459,08
ESP09	24,551	0,05817	459,33
TGOH	24,588	0,06512	459,79
SBNH	24,626	0,06769	459,53
SBAH	24,646	0,05214	458,88
HIR	24,660	0,072	458,475
JUR	24,661	0,12883	459,15
TYNH	24,666	0,07043	459,29
STO	24,669	0,08435	459,495
SBSH	24,677	0,09279	458,835
NANH	24,686	0,08467	458,855
KWMH	24,687	0,11023	459,255
JTSN	24,691	0,08951	459,4
ESP10	24,702	0,03884	459,755
TKKH	24,707	0,0467	459,68
IZMH	24,721	0,05665	458,515
JIU2	24,734	0,08543	458,805
MSMH	24,761	0,21715	459,225
HRDH	24,779	0,04555	458,53
ESP11	24,802	0,0571	459,475
KKIH	24,823	0,19358	458,07
NRAH	24,844	0,06167	458,635
ITK	24,880	0,04548	458,825
UWEH	24,949	0,09017	458,515
KTMH	24,955	0,05407	458,145
NGSH	25,010	0,05439	458,17
ASKH	25,034	0,08979	457,465
SUKH	25,036	0,05697	458,675
HYOH	25,038	0,08622	457,915
SMT	25,055	0,038	457,83
MYZ	25,099	0,10618	458,335
TMO	25,099	0,04168	458,32
TKAO	25,113	0,07678	458,29
NGSJ	25,117	0,03238	458,13
ESP12	25,130	0,06607	458,435
NMO	25,151	0,03765	457,635
JTZ	25,166	0,07714	458,24
JZO	25,175	0,17651	458,1
SNWH	25,191	0,05559	457,955
YOSM	25,212	0,10956	458,47
MMTH	25,232	0,07647	457,805
MJSH	25,296	0,04642	457,51
NCNH	25,322	0,09103	457,65
USB	25,349	0,02132	457,17
NSMH	25,354	0,01711	457,6
MYJH	25,358	0,03268	457,615
JNAR	25,411	0,12375	457,74
KDIH	25,430	0,05264	457,51
SIBI	25,430	0,02876	457,51
AKNH	25,451	0,01832	457,335
OSUH	25,477	0,07482	457,145
KUSM	25,477	0,14098	458,195
SENH	25,517	0,04391	456,345
FUK	25,525	0,03893	457,355
JFU	25,579	0,03653	457,24
KORH	25,592	0,0317	457,08
TKAK	25,631	0,07201	456,765
KYAH	25,677	0,02386	457,31
UCNH	25,700	0,0466	457,12
QC06	25,753	0,04344	458,25
QC13	25,758	0,04389	457,945
QC09	25,758	0,05051	457,93
QF05	25,761	0,06348	458,215
JSU	25,780	0,041	456,775
JTSR	25,871	0,02751	456,7
CRNH	25,882	0,03651	456,31
SATA	25,924	0,03169	456,195
YKWH	25,945	0,04424	455,145
QC12	25,952	0,07663	457,925
JSJ	25,959	0,05278	456,995
CHOY	25,970	0,06887	456,075
QF16	26,000	0,04482	457,175
SATH	26,011	0,02608	457,405
CBIJ	26,021	0,05425	456,435
QF12	26,113	0,07716	457,14
JTN	26,291	0,03126	456,01
JHHJ	26,472	0,1	456,43
NAGT	26,775	0,02829	455,215
JKC	26,791	0,07456	454,805
QF14	26,964	0,072	455,77
PTGA	27,556	0,05418	454,17
JZK	28,758	0,12155	449,37
JAM	28,826	0,03797	451,605
QC04	29,335	0,0884	450,315
JTK	29,650	0,05274	449,31
L106	30,089	0,07621	449,06
JIH	30,726	0,0216	447,645
JOW	30,772	0,03446	447,045
TRQA	31,063	0,05654	447,22
JAGN	31,428	0,08363	446,31
OTAV	31,842	0,03962	445,815
JKE	31,856	0,06801	445,405
PLCA	32,496	0,03043	444
HOPE	32,521	0,074	444,415
RCBR	34,233	0,03827	442,025
YOJ	35,170	0,02363	437,67
